"id_month","id","year","month","day","date","focal_mins","focal_mins_non_UN","UNduration","play_secs","play_mins","percent_play","play_bouts","birthdate","birth_error","age","age_months","age_bins","age_bins6","sex","mother","mother_code","maternal_rank","maternal_rank_birth","mum_parity","weaning_age","weaning_status","fruit_consumption","fruit_consumption_full","group","group_size","ID_8","SB","AF","BB","SA","JUV","INF","play_mins_int","focal_secs","focal_secs_non_UN","fruit_bins","partner_availability","age_z","sex_b","sex_z","maternal_rank_z","maternal_rank_birth_z","mum_parity_b","mum_parity_z","weaning_status_b","weaning_status_z","fruit_consumption_z","fruit_consumption_full_z","partner_availability_z"
"AJ_2018_10","AJ",2018,10,15,"2018-10-15",288,288,0,1530,25.5,8.85416666666667,4,"2017-06-03",0,1.36618754277892,16.394250513347,"(1,2]","(12,18]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",27.906976744186,5.68720379146919,"RUK",8,5,2,1,0,4,0,1,26,17280,17280,"(20,30]",4,-1.27684572297671,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,0.334322508516103,-0.0580167500202699,-0.413653319368976
"AJ_2018_11","AJ",2018,11,15,"2018-11-15",336,336,0,0,0,0,0,"2017-06-03",0,1.45106091718001,17.4127310061602,"(1,2]","(12,18]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",11.3636363636364,3.125,"RUK",8,5,2,1,0,4,0,1,0,20160,20160,"(10,20]",4,-1.23608687248864,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.352516762906652,-0.360578489029705,-0.413653319368976
"AJ_2018_12","AJ",2018,12,15,"2018-12-15",419,419,0,731,12.1833333333333,2.90771678599841,6,"2017-06-03",0,1.53319644079398,18.3983572895277,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",8,5,2,1,0,4,0,1,12,25140,25140,NA,4,-1.19664282362921,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-0.413653319368976
"AJ_2018_4","AJ",2018,4,15,"2018-04-15",198,198,0,0,0,0,0,"2017-06-03",0,0.865160848733744,10.3819301848049,"(0,1]","(6,12]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",8,5,2,1,0,4,0,1,0,11880,11880,NA,4,-1.5174544210192,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-0.413653319368976
"AJ_2018_5","AJ",2018,5,15,"2018-05-15",243,243,0,419,6.98333333333333,2.87379972565158,4,"2017-06-03",0,0.947296372347707,11.3675564681725,"(0,1]","(6,12]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",33.3333333333333,1.5,"RUK",8,5,2,1,0,4,0,1,7,14580,14580,"(30,40]",4,-1.47801037215977,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,0.559611641208553,-0.552469090209561,-0.413653319368976
"AJ_2018_7","AJ",2018,7,15,"2018-07-15",278,248,1,175,2.91666666666667,1.1760752688172,3,"2017-06-03",0,1.11430527036277,13.3716632443532,"(1,2]","(12,18]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",25,2.45901639344262,"RUK",8,5,2,1,0,4,0,1,3,16680,14880,"(20,30]",4,-1.39780747281228,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,0.213631901716579,-0.439222178037843,-0.413653319368976
"AJ_2018_8","AJ",2018,8,15,"2018-08-15",226,226,0,85,1.41666666666667,0.626843657817109,2,"2017-06-03",0,1.19917864476386,14.3901437371663,"(1,2]","(12,18]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",8,5,2,1,0,4,0,1,1,13560,13560,NA,4,-1.35704862232421,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-0.413653319368976
"AJ_2018_9","AJ",2018,9,15,"2018-09-15",180,180,0,0,0,0,0,"2017-06-03",0,1.28405201916496,15.4086242299795,"(1,2]","(12,18]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",12.1212121212121,2.3121387283237,"RUK",8,5,2,1,0,4,0,1,0,10800,10800,"(10,20]",4,-1.31628977183613,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.321064059316475,-0.456566450936036,-0.413653319368976
"AJ_2019_1","AJ",2019,1,15,"2019-01-15",248,248,0,754,12.5666666666667,5.06720430107527,9,"2017-06-03",0,1.61806981519507,19.4168377823409,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",75,5.68720379146919,"RUK",8,3,2,2,1,2,0,1,13,14880,14880,"(70,80]",2,-1.15588397314114,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,2.28951033866843,-0.0580167500202699,-1.42289500666965
"AJ_2019_10","AJ",2019,10,15,"2019-10-15",356,356,0,360,6,1.68539325842697,3,"2017-06-03",0,2.36550308008214,28.3860369609856,"(2,3]","(24,30]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",5.88235294117647,1.72413793103448,"RUK",7,2,2,1,2,1,0,1,6,21360,21360,"(0,10]",1,-0.796943128520379,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.580086324176776,-0.526001421081306,-1.92751585031999
"AJ_2019_11","AJ",2019,11,15,"2019-11-15",254,254,0,96,1.6,0.62992125984252,2,"2017-06-03",0,2.45037645448323,29.4045174537988,"(2,3]","(24,30]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",22.2222222222222,9.80392156862745,"RUK",7,2,2,1,2,1,0,1,2,15240,15240,"(20,30]",1,-0.75618427803231,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,0.0983053218859196,0.428112141762316,-1.92751585031999
"AJ_2019_12","AJ",2019,12,15,"2019-12-15",351,351,0,438,7.3,2.07977207977208,2,"2017-06-03",0,2.53251197809719,30.3901437371663,"(2,3]","(30,36]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",36.6666666666667,14.7651006711409,"RUK",7,1,2,2,2,0,0,1,7,21060,21060,"(30,40]",0,-0.716740229172887,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,0.698003537005346,1.01396053594216,-2.43213669397033
"AJ_2019_2","AJ",2019,2,15,"2019-02-15",265,265,0,461,7.68333333333333,2.89937106918239,6,"2017-06-03",0,1.70294318959617,20.435318275154,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",75,16.3265306122449,"RUK",8,3,2,2,1,2,0,1,8,15900,15900,"(70,80]",2,-1.11512512265307,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,2.28951033866843,1.19834436984904,-1.42289500666965
"AJ_2019_3","AJ",2019,3,15,"2019-03-15",261,206,1,2882,48.0333333333333,23.3171521035599,8,"2017-06-03",0,1.77960301163587,21.3552361396304,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",53.3333333333333,18.3908045977011,"RUK",8,3,2,2,1,2,0,1,48,15660,12360,"(50,60]",2,-1.07831067705094,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,1.38996301598929,1.4421073089685,-1.42289500666965
"AJ_2019_4","AJ",2019,4,15,"2019-04-15",481,481,0,844,14.0666666666667,2.92446292446292,2,"2017-06-03",0,1.86447638603696,22.3737166324435,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",15.9090909090909,5.38461538461539,"RUK",8,3,2,2,1,2,0,1,14,28860,28860,"(10,20]",2,-1.03755182656287,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.163800541365576,-0.0937483631287196,-1.42289500666965
"AJ_2019_5","AJ",2019,5,15,"2019-05-15",607,607,0,203,3.38333333333333,0.557386051619989,3,"2017-06-03",0,1.94661190965092,23.3593429158111,"(1,2]","(18,24]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",8,3,2,2,1,2,0,1,3,36420,36420,NA,2,-0.998107777703447,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-1.42289500666965
"AJ_2019_6","AJ",2019,6,15,"2019-06-15",478,478,0,0,0,0,0,"2017-06-03",0,2.03148528405202,24.3778234086242,"(2,3]","(24,30]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",15.7894736842105,3.38983050847458,"RUK",8,3,2,2,1,2,0,1,0,28680,28680,"(10,20]",2,-0.957348927215373,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.168766757721921,-0.329305574886963,-1.42289500666965
"AJ_2019_7","AJ",2019,7,15,"2019-07-15",580,580,0,253,4.21666666666667,0.727011494252874,2,"2017-06-03",0,2.11362080766598,25.3634496919918,"(2,3]","(24,30]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",8,3,2,2,1,2,0,1,4,34800,34800,NA,2,-0.91790487835595,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-1.42289500666965
"AJ_2019_8","AJ",2019,8,15,"2019-08-15",433,433,0,63,1.05,0.242494226327945,2,"2017-06-03",0,2.19849418206708,26.3819301848049,"(2,3]","(24,30]","female","Tindamanyire","TN",0,NA,"Multiparous",44.35,"N",0,0,"RUK",7,3,2,1,1,2,0,1,1,25980,25980,NA,2,-0.877146027867876,0,-1.01490923682017,-1.7127497756831,NA,0,-0.512352432420236,0,-0.787453431955297,-0.824307316759347,-0.729598875914044,-1.42289500666965
